artistName,tag1,tag2,tag3
Leo Mattioli,latin,Ballad,cumbia
Guaynaa,Latin Rap,latin,puerto rico
Sarah Close,pop,female vocalists,indie
Pol Granch,spanish,spain,spanish or latin artists
Annie Lennox,pop,female vocalists,80s
HUGEL,Hip-Hop,finnish,Suomirap
El Reino Infantil,argentina
Roger Waters,Progressive rock,classic rock,rock
Leoncito Alado,
Nils Landgren,jazz,funk,trombone
Sheed,
Likko Sol,
Las Luces Primeras,Psychedelic Rock,electronic,dream pop
DJ Antoine,House,dance,electronic
Kwabs,soul,electronic,british
Ramiro Pietropaolo,
Benjamin Baker,
Jayma & Dalex,
Alexa Popov,
Gisela Viviano,
Rock and Lobos,
David Dallas,rap,hip hop,New Zealand
Tripssono,tango,electrotango,tango nuevo
Eduardo Tejedo,
Verónica Sanfilippo,
L-Gante,rkt,Latin Rap,cumbia 420
Judy Kuhn,Disney,Soundtrack,female vocalists
Abhi The Nomad,rap,Hip-Hop,Indian
Bee Gees,Disco,pop,70s
Karamelo Santo,ska,latin,argentina
Joaco Terán,
El sueño del ciego,
Jay King,soul,pop,rnb
MC Davo,hip hop,Latin Rap,Rap Mexicano
Argentino Luna,latin,folklore argentino,argentina
Lewis Del Mar,pop,experimental,american
Judah Holiday,
Disney Pixar Duets Karaoke,
Jamie McDell,acoustic,folk,All
Shwayze,Hip-Hop,chill,alternative hip-hop
Graffiti6,indie pop,pop,british
Zac Efron,pop,Soundtrack,Disney
DMX,rap,Hip-Hop,Gangsta Rap
Zara Larsson,pop,swedish,female vocalists
Tiramizú,
Kidd Keo,spain,trap,rap
Paul Moretti Trio,jazz
Ruby Diamond,
Young Miko,rap,puerto rico,trap
Philadelphia,Progressive metal,heavy metal,hungary
JBE Nature Sounds,relax,relaxing,nature sounds
Caio Prado,mpb,soul,brazilian
Arnau Griso,spanish
The Toilet Bowl Cleaners,taylor swift,comedy,RAC
Cecilia Dale,Bossa Nova,jazz,female vocalists
Celeste,Sludge,screamo,post-hardcore
Rob Thomas,pop,rock,singer-songwriter
Bobby Alu,reggae,afrobeat,samoa
Pequeño Pez,
Beastie Boys,Hip-Hop,rap,alternative
Aliados,rock,brazilian,pop rock
SYML,indie,pop,indie pop
Lil Nas X,Hip-Hop,rap,country rap
Jason Weaver,Soundtrack,Disney,United States
PAWSA,tech house,House,techno
Dj Nacho Serra,
Bad Bunny,Reggaeton,trap,latin
TOBEHONEST,USA
Cyndi Lauper,pop,80s,female vocalists
Benny Benni,puerto rico,Reggaeton,Perreo
Bill Valentino,guitar
Olamide,nigeria,Hip-Hop,afrobeats
JAMAICADEROS,argentina,reggae,traditional ska
David Otero,rock,indie,pop
Black Coast,Nu Metal,metalcore,alternative metal
Metro Boomin,trap,rap,Hip-Hop
GrupoLosDelGrande,
The All-American Rejects,rock,pop punk,alternative
Dr. Sounds,ambient,dark ambient,new age
Julia Michaels,pop,singer-songwriter,female vocalists
Ciro y los Persas,Rock Argentino,argentina,rock
The Head And The Heart,folk,indie,alternative
Rvssian,Reggaeton,trap,dancehall
Alice Ripley,musical,american,Broadway
Alex Newell,pop,House,rnb
Lluvia del Bosque,nature sounds,Nature,sounds of nature
Lonely God,USA
Foster The People,indie,indie pop,alternative
Adrian Younge,soul,funk,Soundtrack
Nico Manriquez,
Steve Pearl Band,
Olivia Newton-John,pop,female vocalists,70s
Jack Xander,
