endTime,artistName,trackName,msPlayed
2025-03-25 12:07,Andrés Calamaro,Más duele,191706
2025-03-25 12:11,Fito Paez,La Rueda Mágica - EADDA9223 (feat. Andrés Calamaro & Conociendo Rusia),248724
2025-03-25 12:14,Andrés Calamaro,Tuyo siempre - En directo 2005,182680
2025-03-25 12:19,Andrés Calamaro,Alta suciedad,267733
2025-03-25 12:23,Bunbury,Crimen,246480
2025-03-25 12:26,Andrés Calamaro,5 minutos más - Minibar,214960
2025-03-25 12:30,Andrés Calamaro,Flaca,226858
2025-03-25 13:00,La Sonora Dinamita,Mil Horas,254200
2025-03-25 13:03,Andrés Calamaro,Bohemio,194692
2025-03-25 13:05,Andrés Calamaro,"Ok perdón, fue sin querer",136373
2025-03-25 13:09,Andrés Calamaro,Algo contigo,200306
2025-03-25 13:13,Andrés Calamaro,Donde manda marinero,244866
2025-03-25 13:17,Jaime Urrutia,"¿Dónde estás? (feat. Bunbury, Andrés Calamaro y Loquillo)",226813
2025-03-25 13:20,Andrés Calamaro,Días distintos,209079
2025-03-25 13:24,Playing For Change,La Bamba,224160
2025-03-25 13:26,Andrés Calamaro,Pasemos a Otro Tema,142400
2025-03-25 13:30,Coti,Nada Fue Un Error,207880
2025-03-25 13:34,Miranda!,Tu Misterioso Alguien,239359
2025-03-25 13:37,Bunbury,Aunque no sea conmigo,212560
2025-03-25 13:50,Andrés Calamaro,Cuando no estás,202822
2025-03-25 13:54,Andrés Calamaro,Estadio Azteca,217973
2025-03-25 13:58,Julio Iglesias,Juan Charrasqueado,218266
2025-03-25 14:02,Andrés Calamaro,Carnaval de Brasil,250573
2025-03-25 14:06,Dillom,Mi peor enemigo,237605
2025-03-25 14:10,Intoxicados,Fuego,261546
2025-03-25 14:15,Ratones Paranoicos,Para Siempre,286000
2025-03-25 14:19,Delaossa,Otro Amanecer,242090
2025-03-25 14:22,Andrés Calamaro,Los chicos,191906
2025-03-25 14:27,Andrés Calamaro,Paloma,296973
2025-03-25 14:30,Los Auténticos Decadentes,Costumbres Argentinas,185486
2025-03-25 14:33,Andrés Calamaro,Buena suerte y hasta luego,181866
2025-03-25 14:36,Los Animalitos,Vendrá la Muerte y Tendrá Tus Ojos,156123
2025-03-25 20:39,Sam Fender,Poundshop Kardashians,159295
2025-03-25 20:40,Circa Waves,T-Shirt Weather,59324
2025-03-25 20:43,George Ezra,Budapest,200733
2025-03-25 20:47,Ruth B.,Dandelions,233720
2025-03-25 20:51,Train,"Hey, Soul Sister",216773
2025-03-25 20:55,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2025-03-25 21:03,The Lumineers,Angela,201785
2025-03-25 21:23,Coldplay,Yellow,21097
2025-03-26 09:04,Coldplay,Yellow,246673
2025-03-26 09:07,Maroon 5,Memories,189486
2025-03-26 09:16,MAGIC!,Rude,224840
2025-03-26 09:20,Keane,Somewhere Only We Know,237146
2025-03-26 09:25,James Blunt,Postcards,286973
2025-03-26 09:29,Ed Sheeran,Photograph,258986
2025-03-26 09:32,Tai Verdes,we would have some cute kids.,154764
2025-03-26 09:36,Bon Iver,Skinny Love,238520
2025-03-26 09:39,The Backseat Lovers,Intuition,210588
2025-03-26 09:42,Jake Bugg,Two Fingers,195986
2025-03-26 09:43,The Killers,Read My Mind,25246
2025-03-26 09:43,Rod Stewart,What A Wonderful World (feat. Stevie Wonder),2457
2025-03-26 09:46,Neon Trees,Everybody Talks,177280
2025-03-26 09:49,Jack Johnson,Better Together,207680
2025-03-26 09:52,Plain White T's,"1, 2, 3, 4",198360
2025-03-26 09:57,The Police,Every Little Thing She Does Is Magic,260573
2025-03-26 09:59,The Lumineers,Ho Hey,163133
2025-03-26 10:03,Jack Johnson,Good People,208506
2025-03-26 10:06,James Blunt,You're Beautiful,209493
2025-03-26 10:09,Sam Fender,Will We Talk?,162600
2025-03-26 10:11,The Lumineers,Ophelia,160097
2025-03-26 10:12,Corella,Come Around,17502
2025-03-26 10:17,The Police,Walking On The Moon,300826
2025-03-26 10:20,Yusuf / Cat Stevens,Father And Son,221120
2025-03-26 10:23,Tai Verdes,AOK,173640
2025-03-26 10:25,Corella,Bloom,153822
2025-03-26 10:26,Duncan Laurence,Arcade,1866
2025-03-26 10:26,Pacific,Feeling,33681
2025-03-26 10:26,Jason Mraz,I Won't Give Up,446
2025-03-26 10:30,Jason Mraz,I Won't Give Up,240165
2025-03-26 10:33,Duncan Laurence,Arcade,183624
2025-03-26 10:33,Manu Chao,Bongo Bong,2339
2025-03-26 10:39,The Verve,Bitter Sweet Symphony - Remastered 2016,357266
2025-03-26 10:42,Jason Mraz,Lucky,189613
2025-03-26 10:59,Snow Patrol,Chasing Cars,119463
2025-03-26 16:04,Snow Patrol,Chasing Cars,149532
2025-03-26 16:08,Coldplay,Adventure of a Lifetime,263786
2025-03-26 16:14,Coldplay,A Sky Full of Stars,267866
2025-03-26 17:07,Jason Mraz,I'm Yours,127825
2025-03-26 17:42,The Kooks,Melody Maker,144593
2025-03-26 17:47,The Kooks,Be Who You Are,234693
2025-03-26 17:51,filous,Hey Love,228916
2025-03-26 17:53,The Kooks,Nothing Ever Changes,135253
2025-03-26 17:57,The Kooks,Gap,239960
2025-03-26 18:00,The Kooks,Taking Pictures Of You,161982
2025-03-26 18:03,The Kooks,So Good Looking,203285
2025-03-26 18:07,The Kooks,Rosie,190960
2025-03-26 18:11,The Kooks,Forgive & Forget,237248
2025-03-26 18:14,The Kooks,Naive,203506
2025-03-26 18:17,The Kooks,Sunny Baby,199040
2025-03-26 18:19,The Kooks,Seaside,99226
